NAME,ALIAS,CREATION_DATE,ADDRESS,TYPE,WARD,SECTION,COMPOUND,OWNER,MANAGER,WEBSITE,FA_NUMBER,FA_TAG,DDM,DDM_TYPE,DDM_NAME,DDM_TEXT,DDM_PHOTO,CDBG,LWCF,WATER,MOWING,CORE_SERVICES,CartegraphID,ActBefore,City,ConditionGroup,County,CriticalityFactor,CurrentInspectionID,EstimatedCCI,EstimatedCCR,EstimatedOCI,EstimatedOCR,Installed,Jurisdiction,LocationDescription,Notes,PredictionGroup,Replaced,Retired,StateValue,Street,TotalCost,Acreage,Acreage_unit,ADACompliant,AddressNumber,Name1,OperationalDays,OperationalHours,Type1,CurrentInspectionDate,CurrentInspectionOCI,CurrentInspectionOCR,CurrentInspectionNotes,cgShape_Length,cgShape_Area,created_user,created_date,last_edited_user,last_edited_date,ZIP,ImpactFee,Account,Spraying,Trees,GlobalID,OBJECTID,Shape__Area,Shape__Length
Wheeler Elementary School,,,1818 S Avenida del Sol,School Park,2,3,Jesse Owens,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,None,3,Wheeler Elementary School,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,S Avenida Del Sol,2657.45,3.43,,0,1818,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85710,C,6383,,,14b31b92-e662-432e-b8b9-311e22d54732,159,149218.12701416,1610.32230266871
Wright Elementary School,,,4311 E Linden St,School Park,6,2,Reid,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,None,3,Wright Elementary School,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,E Linden St,6152.96,3.76,,0,4311,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85712,A,6383,,,0a779319-3d35-4a0b-8ef4-71b63ad42420,160,163934.640136719,1990.30420582245
Doolen Middle School,,,2400 N Country Club Rd,School Park,3,3,Fort Lowell,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,1,,Contractor Mow Only,1,Doolen Middle School,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,N Country Club Rd,25019.89,7.97,,0,2400,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85716,A,6383,,,f4343da2-3a88-47bf-aca7-99076c31e1dd,161,347030.156219482,2533.48525610622
Grijalva Elementary School,,,1795 W Drexel Rd,School Park,1,1,Mission Manor,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,None,1,Grijalva Elementary School,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,W Drexel Rd,4872.12,3.2,,0,1795,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85746,B,6343,,,401f5eae-e680-443e-ad1a-07828faa5635,162,139578.490844727,1999.14672527955
Miles Exploratory Learning Center,,,1400 E Broadway Bl,School Park,5,2,Reid,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,None,3,Miles Exploratory Learning Center,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,E Broadway Bl,4037.86,2.55,,0,1400,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85719,B,6342,,,79861eb4-1942-4ab9-9918-ccf0e16996fe,163,111101.495117188,1394.46032188764
Richey Elementary School,,,2209 N 15th Av,School Park,3,1,Jacobs,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,Contractor All Inclusive,1,Richey Elementary School,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,N 15th Av,15197.4,2.86,,0,2209,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85705,A,6342,,,9f62bbb8-6821-4cf5-aaee-cb0ee38e6b59,164,124750.032012939,1598.69461745445
Davidson Elementary School,,,3959 E Paradise Falls Dr,School Park,3,3,Fort Lowell,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,None,3,Davidson Elementary School,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,E Paradise Falls Dr,6776.04,3.22,,0,3959,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85712,A,6383,,,8dc88ae5-47c8-4caa-919d-d3889afd2236,165,140423.368011475,2703.40198546968
International School of Tucson,Jefferson Park Elementary School,,1701 E Seneca St,School Park,3,2,Reid,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,Contractor Mow Only,0,International School of Tucson,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,E Seneca St,1403.04,1.28,,0,1701,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85719,A,6343,,,7972cee4-a6e2-4b0e-a428-387ca974587b,166,55821.4277648926,1118.59569048325
Fairview Lots,,2009,1693 N Fairview Av,Undeveloped,3,1,Jacobs,COT Parks and Recreation,COT Parks and Recreation,,,,,,,,,0,,,None,0,Fairview Lots,1/1/2068 12:00:00 AM,Tucson,Park Sample,,1,,84.45,Excellent,84.5,Excellent,1/1/2009 12:00:00 AM,,,,Park Sample,,,,N Fairview Av,563.97,1.91,,0,1693,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85705,A,6342,,,859bd508-473b-4e93-bd1c-9fe4d6ca1f96,167,83360.2125244141,1344.31231034727
La Mar Park,,,4159 S Elizabeth Dr,Neighborhood Park,1,1,Mission Manor,COT Parks and Recreation,COT Parks and Recreation,,,,,,,,,0,,,None,1,La Mar Park,10/7/2082 12:00:00 AM,Tucson,Park Sample,,1,,98.68,Excellent,99.2,Excellent,10/7/2023 12:00:00 AM,,I-19 and Rodeo Wash Greenway,,Park Sample,,,,S Elizabeth Dr,3070.09,2.68,,0,4159,,Daily,6 a.m.-10 p.m.,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85714,B,6343,,,3ec92dab-278d-4f51-9c23-5e1b4d732535,168,116694.883605957,1726.98460543237
